order_id,date,year,month_num,month_name,category,product,region,channel,quantity,unit_price,revenue,cost,profit
1,2023-01-01,2023,1,Jan 2023,Home & Garden,LED Lamp,East,Online,1,32,32,16,16
2,2023-01-01,2023,1,Jan 2023,Sports,Jump Rope,West,In-Store,5,49,245,121,124
3,2023-01-01,2023,1,Jan 2023,Food & Beverage,Energy Drink,West,Online,5,14,70,44,26
4,2023-01-01,2023,1,Jan 2023,Sports,Water Bottle,West,In-Store,2,28,56,32,24
5,2023-01-01,2023,1,Jan 2023,Sports,Jump Rope,Central,Mobile App,4,37,148,93,55
6,2023-01-01,2023,1,Jan 2023,Clothing,Dress,West,Mobile App,2,70,140,83,57
7,2023-01-01,2023,1,Jan 2023,Food & Beverage,Smoothie,East,In-Store,3,10,30,16,14
8,2023-01-02,2023,1,Jan 2023,Food & Beverage,Green Tea,North,Mobile App,5,13,65,27,38
9,2023-01-02,2023,1,Jan 2023,Food & Beverage,Energy Drink,East,In-Store,1,10,10,4,6
10,2023-01-02,2023,1,Jan 2023,Sports,Water Bottle,Central,Online,1,36,36,23,13
11,2023-01-02,2023,1,Jan 2023,Home & Garden,Pillow Set,West,In-Store,1,63,63,30,33
12,2023-01-02,2023,1,Jan 2023,Food & Beverage,Smoothie,North,Online,5,22,110,46,64
13,2023-01-02,2023,1,Jan 2023,Sports,Dumbbells,Central,Online,4,42,168,96,72
14,2023-01-02,2023,1,Jan 2023,Clothing,Dress,South,In-Store,5,49,245,142,103
15,2023-01-03,2023,1,Jan 2023,Home & Garden,Rug,South,Mobile App,5,64,320,150,170
16,2023-01-03,2023,1,Jan 2023,Clothing,Jacket,South,In-Store,1,66,66,31,35
17,2023-01-03,2023,1,Jan 2023,Home & Garden,Wall Clock,North,Online,5,37,185,95,90
18,2023-01-03,2023,1,Jan 2023,Sports,Jump Rope,East,In-Store,1,50,50,20,30
19,2023-01-03,2023,1,Jan 2023,Electronics,Tablet,North,Online,4,652,2608,1557,1051
20,2023-01-03,2023,1,Jan 2023,Home & Garden,Plant Pot,North,Online,3,57,171,81,90
21,2023-01-03,2023,1,Jan 2023,Clothing,Sneakers,North,Mobile App,1,76,76,46,30
22,2023-01-04,2023,1,Jan 2023,Sports,Dumbbells,South,Online,2,30,60,36,24
23,2023-01-04,2023,1,Jan 2023,Home & Garden,LED Lamp,East,Online,3,39,117,66,51
24,2023-01-04,2023,1,Jan 2023,Electronics,Monitor,North,In-Store,4,625,2500,1203,1297
25,2023-01-04,2023,1,Jan 2023,Electronics,Tablet,East,Online,3,437,1311,693,618
26,2023-01-04,2023,1,Jan 2023,Food & Beverage,Smoothie,West,In-Store,1,15,15,7,8
27,2023-01-04,2023,1,Jan 2023,Food & Beverage,Green Tea,North,In-Store,4,19,76,36,40
28,2023-01-04,2023,1,Jan 2023,Clothing,Jeans,North,In-Store,2,79,158,96,62
29,2023-01-05,2023,1,Jan 2023,Home & Garden,Rug,North,Online,1,47,47,24,23
30,2023-01-05,2023,1,Jan 2023,Home & Garden,Pillow Set,West,Online,1,60,60,36,24
31,2023-01-05,2023,1,Jan 2023,Food & Beverage,Smoothie,West,Online,4,20,80,34,46
32,2023-01-05,2023,1,Jan 2023,Home & Garden,Wall Clock,South,In-Store,4,55,220,95,125
33,2023-01-05,2023,1,Jan 2023,Home & Garden,Wall Clock,Central,Online,3,39,117,75,42
34,2023-01-05,2023,1,Jan 2023,Electronics,Tablet,East,Online,2,459,918,502,416
35,2023-01-05,2023,1,Jan 2023,Food & Beverage,Energy Drink,Central,Mobile App,3,14,42,22,20
36,2023-01-06,2023,1,Jan 2023,Sports,Yoga Mat,North,Online,3,27,81,42,39
37,2023-01-06,2023,1,Jan 2023,Food & Beverage,Green Tea,North,Mobile App,1,13,13,5,8
38,2023-01-06,2023,1,Jan 2023,Sports,Running Shoes,South,Mobile App,4,30,120,69,51
39,2023-01-06,2023,1,Jan 2023,Electronics,Tablet,Central,Mobile App,1,532,532,224,308
40,2023-01-06,2023,1,Jan 2023,Clothing,T-Shirt,North,Mobile App,2,85,170,92,78
41,2023-01-06,2023,1,Jan 2023,Home & Garden,Wall Clock,Central,In-Store,3,35,105,56,49
42,2023-01-06,2023,1,Jan 2023,Electronics,Laptop,South,In-Store,2,638,1276,802,474
43,2023-01-07,2023,1,Jan 2023,Home & Garden,Wall Clock,Central,In-Store,4,56,224,119,105
44,2023-01-07,2023,1,Jan 2023,Clothing,Jeans,East,Online,4,46,184,79,105
45,2023-01-07,2023,1,Jan 2023,Clothing,Jeans,South,Online,5,86,430,233,197
46,2023-01-07,2023,1,Jan 2023,Electronics,Monitor,Central,Online,2,577,1154,487,667
47,2023-01-07,2023,1,Jan 2023,Clothing,Sneakers,North,Online,1,59,59,26,33
48,2023-01-07,2023,1,Jan 2023,Sports,Running Shoes,West,In-Store,2,45,90,36,54
49,2023-01-08,2023,1,Jan 2023,Clothing,Dress,West,Mobile App,3,54,162,85,77
50,2023-01-08,2023,1,Jan 2023,Home & Garden,LED Lamp,South,Mobile App,4,56,224,94,130
51,2023-01-08,2023,1,Jan 2023,Home & Garden,Wall Clock,West,Online,4,32,128,66,62
52,2023-01-08,2023,1,Jan 2023,Home & Garden,Rug,East,Online,2,61,122,77,45
53,2023-01-08,2023,1,Jan 2023,Home & Garden,Wall Clock,South,In-Store,2,47,94,54,40
54,2023-01-08,2023,1,Jan 2023,Sports,Dumbbells,North,Online,2,42,84,35,49
55,2023-01-08,2023,1,Jan 2023,Food & Beverage,Smoothie,North,Mobile App,3,13,39,17,22
